UserId,Gender,AgeSept2018,IsAdvantaged
3507,1,12,1
3520,1,12,1
3522,1,11,1
3536,2,11,1
3538,1,12,1
3553,1,11,1
3570,1,11,1
3572,1,12,0
3587,2,11,1
3601,2,11,0
3614,1,11,0
3639,2,11,1
3642,2,11,0
3654,1,12,1
3691,1,12,1
3705,1,11,1
3722,1,12,1
3724,2,11,1
3739,1,12,1
3756,2,13,1
3758,2,14,1
3772,1,11,1
13479,1,11,0
3792,2,13,1
3824,2,13,1
3838,2,13,0
3855,2,11,1
3869,1,12,1
3871,1,11,1
3887,2,12,1
3894,1,13,1
3903,2,12,0
3905,2,12,1
3920,1,11,1
3930,2,11,1
4176,2,14,0
5668,2,9,0
7935,2,13,0
8818,2,6,0
8826,2,6,0
8853,1,7,1
8863,1,7,1
8957,2,7,1
9353,1,15,1
9897,2,11,1
12880,1,11,1
14915,1,12,0
14922,1,13,0
14961,2,12,0
15182,2,11,1
15244,2,12,1
15340,2,12,1
15356,2,11,1
15426,2,12,1
15439,2,12,1
15452,2,12,1
15467,2,11,1
15528,2,12,1
15604,2,12,1
15729,2,13,1
15749,2,12,1
15754,2,12,1
15764,2,12,1
15779,2,11,1
15799,2,11,1
15814,2,12,1
15848,2,11,1
15874,2,12,1
15893,2,12,1
15898,2,12,1
15921,2,12,1
16593,1,14,1
16654,1,13,1
2682,2,11,0
4575,1,13,0
4585,2,13,0
4609,1,13,1
4633,2,13,1
4648,2,13,1
4658,2,13,1
4685,1,13,1
4717,1,13,1
4718,1,13,0
5931,1,15,0
5938,2,15,1
5941,1,15,1
5980,1,15,1
5982,1,13,1
6007,1,15,1
6042,1,15,1
6062,1,15,1
6150,2,15,1
6262,1,15,1
8912,2,13,1
8932,2,14,0
8970,2,12,1
13091,1,10,1
13186,1,15,1
13221,1,9,1
13316,1,12,1
13432,1,14,1
13472,1,14,1
13499,1,13,1
13522,2,10,1
13555,1,12,1
13557,1,10,1
13573,1,9,1
13598,2,14,1
13648,1,10,1
13659,1,9,1
8980,2,9,1
9047,2,13,0
14105,2,9,1
14107,2,9,1
14115,1,10,1
14139,2,13,1
14144,1,13,1
14151,2,10,1
14161,1,14,1
14177,1,12,1
14203,2,14,0
16415,1,12,1
16432,2,13,1
16434,2,12,1
16449,1,12,1
16466,1,12,1
16471,2,13,1
16481,1,12,1
16483,1,12,1
16500,1,13,1
16645,2,12,1
16658,1,12,1
16668,2,12,1
16670,2,12,0
16678,2,13,1
16679,1,12,1
17061,2,11,1
552,2,13,1
562,1,13,1
4229,2,12,1
4358,1,12,1
4468,1,15,0
4588,2,15,0
11845,2,13,1
12393,1,14,1
14309,2,11,0
14513,2,11,1
779,2,10,1
843,2,10,1
845,2,10,1
8989,2,13,1
9002,2,12,1
13643,2,12,1
16110,1,11,1
16115,2,11,1
16121,2,11,0
16134,1,11,1
16144,2,11,0
16149,1,11,0
16161,2,11,0
16165,2,11,1
16169,2,11,1
16199,2,11,1
16213,2,11,0
16229,1,11,1
16254,2,11,1
16265,2,11,0
16287,2,11,1
16295,2,11,1
16296,1,11,1
16328,1,11,1
16334,2,11,1
16347,1,11,1
16368,2,11,1
16379,1,11,0
17008,1,14,1
1229,1,12,1
1791,2,12,1
1954,1,12,1
1983,1,12,1
2019,1,14,0
2031,1,14,1
2045,2,10,1
2074,1,13,0
2101,1,13,1
2116,1,14,1
2121,2,14,1
2122,2,13,1
2157,1,12,0
2174,1,10,1
2209,1,14,1
2229,1,13,1
2260,2,10,1
2320,1,12,1
2328,2,14,1
2430,1,13,1
2432,2,14,1
2452,1,14,1
2538,1,13,1
4864,1,14,1
4884,1,13,1
4907,2,12,1
4901,2,12,1
4950,2,14,1
4969,2,13,1
2968,2,13,1
5001,1,14,1
5000,2,12,1
5018,2,12,1
5032,2,13,1
5034,1,12,1
5051,2,12,0
5066,2,14,1
5068,2,13,1
5081,2,13,1
5084,2,12,1
5098,1,13,1
5115,1,11,0
5117,1,12,1
5133,1,13,1
5148,1,14,1
5170,1,11,1
5195,2,12,1
5198,2,13,1
5212,1,11,1
5224,2,12,1
5226,1,12,1
5240,1,14,1
5256,1,14,1
5306,1,14,1
5322,2,14,1
5324,1,14,0
5344,1,12,1
5365,1,14,1
5380,1,11,1
5382,2,13,1
5397,1,12,1
5400,2,13,0
5418,1,11,0
5416,1,11,1
5431,1,11,1
5433,1,11,1
5448,1,12,0
5451,2,11,0
5464,2,13,1
5466,1,12,0
5478,2,14,1
5480,1,14,0
5495,1,11,0
5497,1,11,1
5511,1,14,0
5529,2,13,1
5559,1,11,0
5575,1,14,1
5577,2,13,0
5590,2,12,1
5609,2,14,1
5626,2,13,1
5641,1,13,0
5643,1,14,1
5658,1,13,1
5673,2,13,0
5675,2,14,1
5690,2,11,1
5692,2,11,1
5705,1,11,1
5720,2,14,1
5722,2,13,0
5736,2,14,1
5738,2,14,1
5749,2,12,0
5750,2,14,1
5765,1,14,1
5767,2,13,1
5782,1,14,1
5787,2,12,1
5799,2,13,1
5813,2,13,1
5832,1,11,1
5830,1,11,1
5845,1,11,0
5848,1,12,0
7921,2,11,1
7956,1,10,0
7974,1,10,0
8022,1,10,0
8024,2,10,0
8037,2,10,1
8052,1,10,0
8069,1,10,1
8071,1,10,0
8086,2,10,1
8120,1,14,1
10307,1,12,1
10313,1,12,0
10326,1,12,0
10343,2,14,0
10351,1,12,0
10360,2,14,1
10370,2,11,0
10376,1,13,0
10389,1,13,0
10390,2,13,1
10400,2,13,0
10409,1,11,0
10422,2,11,1
10436,1,12,1
10501,2,11,0
10517,2,11,0
10518,2,13,0
10531,1,11,0
10549,2,13,0
10576,1,12,0
10578,1,11,1
10593,2,13,0
10595,2,14,1
10611,2,12,1
10612,2,12,1
10677,2,11,0
10711,1,12,0
10745,2,12,1
10773,1,14,1
10792,1,12,0
10808,2,11,1
10826,2,12,1
10874,1,13,1
10889,1,11,0
10910,2,13,0
10925,2,11,1
10959,2,11,1
10974,1,12,0
10991,1,12,0
11023,1,11,1
11025,2,12,1
11048,2,13,0
11059,1,13,0
11091,2,13,0
11106,1,13,0
11123,2,11,1
11142,2,11,1
11158,2,14,1
11225,1,14,0
11242,1,12,1
11257,2,11,1
11259,1,13,1
11274,1,13,1
11276,1,13,0
11290,1,12,1
11306,2,11,1
11320,2,11,1
11323,2,13,1
11324,2,11,1
0,1,13,1
11434,2,11,0
11475,2,11,0
87,1,13,0
127,1,13,1
11523,2,11,0
14228,1,9,1
14229,1,9,1
14251,2,9,1
14257,2,9,1
14282,2,9,0
14741,1,13,1
15054,1,14,0
16540,1,13,1
16545,2,13,0
16555,2,13,1
672,1,11,1
679,2,11,1
714,2,11,1
716,1,11,0
718,2,11,1
741,2,11,1
744,2,11,1
762,1,11,1
850,2,13,0
997,2,13,1
2586,1,11,0
3004,1,13,1
4111,2,14,1
5019,2,11,0
5042,1,11,1
5080,2,11,1
11599,2,14,1
12526,2,11,1
12528,1,11,1
12533,2,11,1
12558,1,11,1
12560,1,11,1
12567,1,11,1
12569,2,12,0
12592,2,11,1
12601,2,11,1
12603,1,11,1
12628,2,11,1
12632,2,11,1
12654,2,11,1
12656,1,11,1
12663,2,11,1
12665,1,11,1
12686,1,11,0
12687,2,11,1
12694,2,11,1
12714,1,11,0
12715,2,11,0
12719,2,11,0
12723,1,11,0
14927,1,11,1
14928,1,11,1
14947,1,11,1
15109,2,11,0
15110,2,12,0
15117,1,11,0
15119,2,11,1
15142,2,11,0
15183,1,11,0
15178,1,11,0
15185,1,11,0
15192,1,11,1
15208,1,11,1
15211,2,11,1
15217,1,11,1
15242,1,11,1
15246,1,11,1
15256,1,11,1
15276,2,11,0
15278,1,11,0
15285,1,11,0
15482,1,11,1
15504,1,11,1
15600,2,14,1
15609,2,11,1
15634,2,11,1
17579,2,14,1
17629,1,14,0
4351,1,13,1
4871,1,11,1
4900,1,11,1
4908,1,11,1
4906,1,11,1
4932,1,11,1
4940,1,11,1
13587,1,11,1
4966,1,11,1
4998,1,11,1
5005,1,11,1
5007,1,11,1
5035,1,11,0
5064,1,11,1
5074,1,11,1
7266,2,13,1
9022,1,13,1
9036,1,13,1
9040,2,13,1
12406,1,13,0
12623,2,11,1
13752,1,8,1
13775,1,7,1
13777,1,6,1
13784,2,6,1
13786,2,9,1
13809,2,8,1
13811,2,9,1
13841,1,8,1
13843,2,7,1
13852,1,10,1
13874,1,9,1
13881,1,10,1
13883,2,7,1
13906,2,8,1
13937,1,7,1
13939,1,10,1
13941,1,7,1
13952,1,10,1
13971,2,8,1
13973,1,6,1
2596,2,8,1
13982,1,7,1
14005,1,9,1
14041,2,6,1
14048,2,10,1
14077,1,7,1
14079,1,8,1
17607,1,14,0
1038,1,14,1
1452,2,13,1
2933,2,8,1
2958,2,9,1
2960,2,9,1
2965,1,8,1
2990,2,7,1
2991,2,6,1
3016,1,6,1
3024,1,7,1
3043,1,9,1
3045,1,9,1
3054,1,6,1
3077,2,7,1
3079,2,6,1
3084,1,6,1
3086,2,8,1
3109,2,8,1
3118,1,8,1
3139,1,7,0
3146,1,7,1
3148,1,8,1
3171,2,7,1
3177,1,8,1
3179,1,7,1
3206,1,7,0
3208,1,7,1
3229,1,9,1
3238,2,8,1
3257,2,9,1
3259,2,8,1
3266,2,7,1
3292,1,7,1
3320,2,8,1
3347,2,7,1
3356,2,9,1
3379,1,10,1
3381,2,9,1
3390,1,9,1
3411,1,8,1
3413,2,6,1
3420,2,9,1
3422,2,8,1
3445,2,10,1
3447,1,7,1
3454,2,7,1
3457,2,8,1
3485,1,6,1
4681,2,14,1
8326,2,15,1
8342,1,14,1
8383,1,14,1
10460,2,15,0
11671,1,13,0
15491,2,11,1
15523,2,11,0
15525,2,11,1
15554,1,11,1
15610,2,12,1
15621,1,12,1
15646,2,12,1
15651,1,12,1
15678,1,11,0
15687,2,11,1
15710,2,11,1
15720,2,11,1
15781,2,12,1
15803,2,12,1
15805,2,12,1
15812,1,12,1
15854,1,11,1
15858,2,11,1
15877,1,11,0
15884,2,11,1
15928,2,11,1
15930,1,11,1
15939,1,11,0
15966,2,12,1
15968,2,12,0
15986,1,12,1
15994,1,12,1
16497,2,12,1
952,2,15,1
971,2,15,0
1241,2,15,0
1257,2,15,1
5873,1,13,1
5901,1,13,1
5920,1,13,1
6046,2,8,1
6051,1,9,1
6295,2,14,1
6296,1,14,0
6299,2,14,1
6314,2,14,1
6315,1,14,0
6318,2,14,0
6330,1,14,1
6351,1,14,0
6352,1,14,1
6354,2,14,1
12957,2,13,0
13130,2,11,1
13310,2,11,0
13377,2,11,0
13854,1,13,1
17486,2,12,1
4,1,14,1
1470,1,14,1
1596,1,14,1
2012,2,12,1
3708,2,9,1
3715,2,8,1
3740,1,7,1
3774,1,7,1
